,DegreeCentrality,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Sector
ITC,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
INDHOTEL,0.0,0.0,0.0,0.0,Consumer Services
IOC,0.010638297872340425,0.0,0.010638297872340425,0.0,Oil Gas & Consumable Fuels
IRFC,0.0,0.0,0.0,0.0,Financial Services
NAUKRI,0.0,0.0,0.0,0.0,Consumer Services
INFY,0.010638297872340425,0.0,0.010638297872340425,0.0,Information Technology
INDIGO,0.0,0.0,0.0,0.0,Services
JSWENERGY,0.0,0.0,0.0,0.0,Power
JSWSTEEL,0.010638297872340425,0.0,0.014184397163120567,0.0,Metals & Mining
JINDALSTEL,0.010638297872340425,0.0,0.014184397163120567,0.0,Metals & Mining
JIOFIN,0.0,0.0,0.0,0.0,Financial Services
KOTAKBANK,0.0,0.0,0.0,0.0,Financial Services
LTIM,0.0,0.0,0.0,0.0,Information Technology
LT,0.0,0.0,0.0,0.0,Construction
LICI,0.0,0.0,0.0,0.0,Financial Services
LODHA,0.0,0.0,0.0,0.0,Realty
M&M,0.0,0.0,0.0,0.0,Automobile and Auto Components
MARUTI,0.0,0.0,0.0,0.0,Automobile and Auto Components
MAXHEALTH,0.0,0.0,0.0,0.0,Healthcare
MAZDOCK,0.0,0.0,0.0,0.0,Capital Goods
NTPC,0.02127659574468085,0.0004575611988103409,0.023936170212765957,0.0,Power
NESTLEIND,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
ONGC,0.010638297872340425,0.0,0.015957446808510637,0.0,Oil Gas & Consumable Fuels
PIDILITIND,0.0,0.0,0.0,0.0,Chemicals
PFC,0.010638297872340425,0.0,0.010638297872340425,0.0,Financial Services
POWERGRID,0.010638297872340425,0.0,0.015957446808510637,0.0,Power
PNB,0.031914893617021274,0.0,0.031914893617021274,1.0,Financial Services
RECLTD,0.010638297872340425,0.0,0.010638297872340425,0.0,Financial Services
RELIANCE,0.0,0.0,0.0,0.0,Oil Gas & Consumable Fuels
SBILIFE,0.0,0.0,0.0,0.0,Financial Services
MOTHERSON,0.0,0.0,0.0,0.0,Automobile and Auto Components
SHREECEM,0.0,0.0,0.0,0.0,Construction Materials
SHRIRAMFIN,0.0,0.0,0.0,0.0,Financial Services
SIEMENS,0.0,0.0,0.0,0.0,Capital Goods
SOLARINDS,0.0,0.0,0.0,0.0,Chemicals
SBIN,0.031914893617021274,0.0,0.031914893617021274,1.0,Financial Services
SUNPHARMA,0.0,0.0,0.0,0.0,Healthcare
TVSMOTOR,0.0,0.0,0.0,0.0,Automobile and Auto Components
TCS,0.010638297872340425,0.0,0.010638297872340425,0.0,Information Technology
TATACONSUM,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
TATAPOWER,0.0,0.0,0.0,0.0,Power
TATASTEEL,0.02127659574468085,0.00022878059940517045,0.02127659574468085,0.0,Metals & Mining
TECHM,0.0,0.0,0.0,0.0,Information Technology
TITAN,0.0,0.0,0.0,0.0,Consumer Durables
TORNTPHARM,0.0,0.0,0.0,0.0,Healthcare
TRENT,0.0,0.0,0.0,0.0,Consumer Services
ULTRACEMCO,0.0,0.0,0.0,0.0,Construction Materials
VBL,0.0,0.0,0.0,0.0,Fast Moving Consumer Goods
VEDL,0.0,0.0,0.0,0.0,Metals & Mining
WIPRO,0.0,0.0,0.0,0.0,Information Technology
ZYDUSLIFE,0.0,0.0,0.0,0.0,Healthcare
